unit,time_step,operational_setting_1,operational_setting_2,operational_setting_3,Sensor_0,Sensor_1,Sensor_2,Sensor_3,Sensor_4,Sensor_5,Sensor_6,Sensor_7,Sensor_8,Sensor_9,Sensor_10,Sensor_11,Sensor_12,Sensor_13,Sensor_14,Sensor_15,Sensor_16,Sensor_17,Sensor_18,Sensor_19,Sensor_20,Health_state,Operational_condition
0,1,1,10.0047,0.2501,20.0,489.05,604.13,1499.45,1309.95,10.52,15.49,394.88,2318.87,8770.2,1.26,45.4,372.15,2388.13,8120.83,8.6216,0.03,368,2319,100.0,28.58,17.1735,1,1
14,1,15,9.9988,0.25,20.0,489.05,604.63,1497.87,1302.51,10.52,15.5,394.93,2318.9,8771.08,1.26,45.39,371.84,2388.12,8124.37,8.6496,0.03,369,2319,100.0,28.84,17.0805,1,1
15,1,16,9.9987,0.25,20.0,489.05,604.61,1500.47,1311.39,10.52,15.49,394.44,2318.87,8775.86,1.26,45.52,372.19,2388.08,8127.07,8.6609,0.03,369,2319,100.0,28.71,17.1759,1,1
17,1,18,10.0066,0.2507,20.0,489.05,604.23,1502.57,1304.56,10.52,15.49,394.31,2318.93,8778.55,1.26,45.1,372.03,2388.06,8119.39,8.6646,0.03,367,2319,100.0,28.6,17.1096,1,1
35,1,36,10.0024,0.2504,20.0,489.05,604.43,1499.85,1306.89,10.52,15.49,394.36,2318.94,8771.15,1.26,45.36,371.77,2388.11,8121.73,8.626,0.03,369,2319,100.0,28.52,17.1036,2,1
37,1,38,9.9992,0.2519,20.0,489.05,604.8,1502.32,1304.65,10.52,15.49,395.42,2318.96,8775.77,1.26,45.4,371.75,2388.1,8128.62,8.6563,0.03,369,2319,100.0,28.55,17.2449,2,1
42,1,43,10.007,0.25,20.0,489.05,605.02,1497.0,1304.66,10.52,15.49,395.33,2318.92,8768.04,1.26,45.53,372.23,2388.11,8122.83,8.6653,0.03,371,2319,100.0,28.42,17.2044,2,1
45,1,46,9.9983,0.2507,20.0,489.05,604.44,1493.77,1312.86,10.52,15.5,394.79,2318.89,8775.4,1.26,45.57,371.32,2388.13,8127.29,8.6515,0.03,368,2319,100.0,28.25,17.137,2,1
48,1,49,10.0002,0.2515,20.0,489.05,604.45,1500.33,1312.4,10.52,15.49,394.89,2318.92,8775.97,1.26,45.43,371.69,2388.13,8125.47,8.6278,0.03,370,2319,100.0,28.56,17.1841,2,1
56,1,57,10.0012,0.25,20.0,489.05,604.12,1499.74,1311.35,10.52,15.49,394.76,2318.93,8774.66,1.26,45.21,371.5,2388.12,8125.63,8.6596,0.03,371,2319,100.0,28.66,17.1513,2,1
58,1,59,10.0013,0.25,20.0,489.05,604.84,1499.35,1302.32,10.52,15.49,394.88,2319.0,8776.06,1.26,45.39,371.17,2388.13,8124.26,8.658,0.03,369,2319,100.0,28.57,17.1402,2,1
64,1,65,10.0046,0.251,20.0,489.05,604.91,1500.41,1313.21,10.52,15.49,394.77,2318.97,8773.89,1.26,45.48,371.2,2388.13,8124.24,8.6531,0.03,368,2319,100.0,28.49,17.0749,2,1
88,1,89,10.0057,0.2512,20.0,489.05,604.38,1500.89,1309.16,10.52,15.49,394.28,2318.93,8776.76,1.26,45.37,371.35,2388.12,8130.98,8.6302,0.03,372,2319,100.0,28.48,17.0763,3,1
100,1,101,9.9997,0.25,20.0,489.05,605.03,1500.23,1308.21,10.52,15.49,394.16,2318.93,8778.95,1.26,45.57,371.22,2388.13,8124.87,8.6503,0.03,369,2319,100.0,28.61,17.1063,3,1
101,1,102,10.0048,0.2517,20.0,489.05,604.59,1500.82,1308.26,10.52,15.49,394.38,2318.98,8773.95,1.26,45.48,371.54,2388.17,8122.71,8.6587,0.03,370,2319,100.0,28.47,17.2046,3,1
102,1,103,9.9996,0.25,20.0,489.05,604.43,1497.72,1307.89,10.52,15.49,394.49,2318.95,8778.23,1.26,45.48,371.69,2388.16,8127.62,8.6405,0.03,371,2319,100.0,28.56,17.1515,3,1
117,1,118,10.0023,0.25,20.0,489.05,605.09,1491.66,1311.73,10.52,15.5,394.12,2319.01,8777.26,1.26,45.49,371.28,2388.22,8130.07,8.6362,0.03,370,2319,100.0,28.53,17.1594,3,1
121,1,122,9.9987,0.25,20.0,489.05,605.05,1497.7,1311.02,10.52,15.49,394.48,2319.02,8773.74,1.26,45.43,371.35,2388.25,8129.34,8.691,0.03,370,2319,100.0,28.41,17.2078,3,1
128,1,129,10.002,0.2505,20.0,489.05,605.23,1504.01,1316.44,10.52,15.49,394.28,2319.02,8773.2,1.26,45.59,371.81,2388.18,8126.82,8.6746,0.03,370,2319,100.0,28.5,17.2131,3,1
133,1,134,10.0004,0.2505,20.0,489.05,605.07,1510.58,1315.18,10.52,15.5,394.32,2318.99,8782.06,1.26,45.45,371.53,2388.19,8129.58,8.6728,0.03,370,2319,100.0,28.57,17.0739,3,1
135,1,136,10.0011,0.2506,20.0,489.05,605.03,1500.14,1316.39,10.52,15.49,394.09,2318.96,8772.19,1.26,45.82,371.16,2388.16,8131.9,8.6865,0.03,371,2319,100.0,28.64,17.1091,3,1
144,1,145,10.0025,0.2513,20.0,489.05,605.14,1506.99,1309.48,10.52,15.49,395.14,2318.97,8781.65,1.26,45.38,371.39,2388.21,8127.59,8.6574,0.03,369,2319,100.0,28.56,17.0738,3,1
165,1,166,10.0074,0.25,20.0,489.05,604.95,1504.56,1316.42,10.52,15.5,393.6,2319.03,8781.87,1.26,45.71,371.13,2388.22,8131.82,8.6753,0.03,371,2319,100.0,28.62,17.0631,3,1
176,1,177,10.0017,0.25,20.0,489.05,605.23,1503.9,1318.58,10.52,15.5,393.41,2319.06,8780.21,1.26,45.82,370.68,2388.26,8126.89,8.6666,0.03,371,2319,100.0,28.46,17.0572,4,1
178,1,179,10.0002,0.2509,20.0,489.05,605.46,1495.02,1323.28,10.52,15.5,393.64,2319.06,8779.2,1.26,45.74,370.6,2388.25,8129.92,8.6954,0.03,370,2319,100.0,28.48,16.978,4,1
188,1,189,10.0012,0.251,20.0,489.05,605.14,1506.45,1320.94,10.52,15.5,394.01,2319.05,8794.73,1.26,45.77,370.65,2388.23,8132.43,8.683,0.03,370,2319,100.0,28.38,16.9889,4,1
193,1,194,10.0059,0.25,20.0,489.05,605.11,1505.33,1314.06,10.52,15.5,393.96,2319.15,8768.16,1.26,45.92,371.13,2388.34,8127.52,8.7304,0.03,372,2319,100.0,28.44,17.0618,4,1
196,1,197,10.0032,0.2519,20.0,489.05,606.05,1510.09,1321.03,10.52,15.5,392.86,2319.12,8785.75,1.26,45.83,370.11,2388.28,8130.45,8.7271,0.03,370,2319,100.0,28.33,16.9882,4,1
199,1,200,10.0032,0.25,20.0,489.05,605.53,1507.91,1321.64,10.52,15.5,393.76,2319.08,8779.65,1.26,45.82,370.68,2388.28,8130.74,8.7389,0.03,371,2319,100.0,28.43,17.0037,4,1
203,1,204,10.0025,0.251,20.0,489.05,605.73,1512.47,1326.88,10.52,15.5,393.38,2319.13,8782.34,1.26,45.86,370.92,2388.37,8129.81,8.7158,0.03,370,2319,100.0,28.41,17.0502,4,1
208,1,209,10.0017,0.25,20.0,489.05,605.52,1507.01,1329.29,10.52,15.5,392.89,2319.11,8780.91,1.26,45.99,370.32,2388.35,8126.93,8.7609,0.03,371,2319,100.0,28.39,17.0352,4,1
230,2,8,10.0001,0.2518,20.0,489.05,604.07,1491.03,1299.25,10.52,15.49,395.19,2318.8,8773.36,1.26,45.1,372.42,2388.08,8137.81,8.6069,0.03,369,2319,100.0,28.71,17.1825,2,1
233,2,11,10.0057,0.2515,20.0,489.05,604.25,1499.35,1299.93,10.52,15.49,395.5,2318.79,8773.23,1.26,45.11,372.5,2388.04,8134.67,8.654,0.03,367,2319,100.0,28.69,17.0638,2,1
237,2,15,10.0007,0.2511,20.0,489.05,604.13,1498.26,1290.26,10.52,15.49,394.87,2318.83,8775.1,1.26,44.96,372.54,2387.95,8135.01,8.6142,0.03,368,2319,100.0,28.52,17.2534,3,1
238,2,16,10.0036,0.2507,20.0,489.05,603.85,1488.09,1297.87,10.52,15.49,395.41,2318.81,8773.14,1.26,45.26,372.29,2388.05,8126.16,8.6128,0.03,368,2319,100.0,28.94,17.0644,3,1
241,2,19,10.0016,0.2508,20.0,489.05,604.18,1493.11,1299.93,10.52,15.49,395.37,2318.83,8775.52,1.26,45.16,372.19,2388.01,8137.51,8.616,0.03,368,2319,100.0,28.69,17.1594,3,1
242,2,20,10.0038,0.2518,20.0,489.05,603.79,1499.16,1296.86,10.52,15.49,395.14,2318.84,8780.91,1.26,45.17,372.45,2388.06,8135.1,8.636,0.03,366,2319,100.0,28.65,17.2969,3,1
244,2,22,10.0075,0.2515,20.0,489.05,604.8,1496.0,1299.49,10.52,15.49,394.92,2318.82,8775.46,1.26,45.05,371.94,2387.97,8131.89,8.6258,0.03,367,2319,100.0,28.62,17.1488,3,1
247,2,25,10.0012,0.2509,20.0,489.05,604.4,1501.48,1301.41,10.52,15.49,395.41,2318.86,8779.49,1.26,45.14,371.81,2388.04,8124.05,8.6366,0.03,367,2319,100.0,28.84,17.2276,3,1
258,2,36,10.0016,0.2501,20.0,489.05,604.63,1500.28,1300.77,10.52,15.49,395.05,2318.88,8784.59,1.26,44.92,372.61,2388.0,8128.6,8.6102,0.03,367,2319,100.0,28.6,17.2777,3,1
262,2,40,10.0069,0.2508,20.0,489.05,604.51,1493.83,1303.37,10.52,15.49,394.19,2318.82,8782.96,1.26,45.16,371.81,2388.06,8133.17,8.6241,0.03,367,2319,100.0,28.71,17.2068,3,1
272,2,50,10.0027,0.2514,20.0,489.05,603.93,1497.5,1301.77,10.52,15.49,395.34,2318.85,8768.73,1.26,45.3,371.87,2388.08,8124.21,8.6033,0.03,367,2319,100.0,28.7,17.2325,3,1
298,2,76,10.0054,0.25,20.0,489.05,604.29,1497.56,1297.81,10.52,15.49,395.2,2318.82,8778.11,1.26,45.17,371.6,2388.09,8128.53,8.6208,0.03,370,2319,100.0,28.47,17.0605,3,1
310,2,88,10.0063,0.25,20.0,489.05,604.72,1496.47,1302.33,10.52,15.49,395.19,2318.86,8774.01,1.26,45.28,371.58,2388.08,8125.62,8.6514,0.03,370,2319,100.0,28.75,17.1029,3,1
317,2,95,9.9989,0.2502,20.0,489.05,605.03,1496.01,1308.19,10.52,15.49,394.43,2318.94,8775.12,1.26,45.3,371.95,2388.12,8126.78,8.6349,0.03,369,2319,100.0,28.51,17.0787,3,1
318,2,96,10.0021,0.25,20.0,489.05,604.03,1499.57,1298.64,10.52,15.49,395.07,2318.92,8780.14,1.26,45.34,371.63,2388.04,8131.32,8.5758,0.03,369,2319,100.0,28.69,17.0276,3,1
326,2,104,10.0079,0.2503,20.0,489.05,604.23,1500.27,1310.01,10.52,15.49,394.09,2318.91,8773.84,1.26,45.1,371.52,2388.05,8131.37,8.6262,0.03,369,2319,100.0,28.63,17.1132,3,1
328,2,106,10.0061,0.25,20.0,489.05,604.12,1503.81,1300.24,10.52,15.49,394.61,2318.92,8782.5,1.26,45.31,371.64,2388.12,8129.24,8.6259,0.03,370,2319,100.0,28.71,17.173,3,1
337,2,115,9.9985,0.25,20.0,489.05,605.12,1497.89,1304.85,10.52,15.49,394.34,2318.94,8778.86,1.26,45.5,371.81,2388.15,8126.41,8.6583,0.03,370,2319,100.0,28.51,17.1804,4,1
351,2,129,10.0075,0.25,20.0,489.05,604.53,1502.85,1311.65,10.52,15.49,394.76,2318.96,8769.12,1.26,45.63,371.07,2388.23,8119.96,8.6692,0.03,370,2319,100.0,28.48,17.0841,4,1
354,2,132,10.0016,0.2508,20.0,489.05,605.12,1505.0,1314.49,10.52,15.49,393.51,2319.01,8771.26,1.26,45.59,371.31,2388.21,8124.63,8.6611,0.03,370,2319,100.0,28.45,17.0347,4,1
360,2,138,9.9984,0.2517,20.0,489.05,604.76,1494.81,1317.69,10.52,15.5,393.73,2319.03,8760.75,1.26,45.63,371.27,2388.2,8121.23,8.6613,0.03,370,2319,100.0,28.53,17.1376,4,1
380,2,158,10.005,0.2509,20.0,489.05,605.4,1512.29,1336.28,10.52,15.5,393.44,2319.2,8766.55,1.26,46.03,370.15,2388.41,8110.57,8.7341,0.03,373,2319,100.0,28.23,16.927,4,1
398,3,12,10.0034,0.2508,20.0,489.05,604.88,1505.1,1308.8,10.52,15.5,394.34,2318.99,8764.6,1.26,45.56,371.23,2388.25,8111.94,8.6949,0.03,369,2319,100.0,28.63,17.1308,3,1
404,3,18,10.0077,0.2508,20.0,489.05,605.34,1501.01,1303.84,10.52,15.49,394.0,2319.02,8766.05,1.26,45.46,371.83,2388.16,8111.26,8.6985,0.03,372,2319,100.0,28.52,17.1037,3,1
406,3,20,9.9985,0.252,20.0,489.05,605.04,1493.97,1309.61,10.52,15.49,394.33,2318.93,8753.54,1.26,45.37,371.71,2388.18,8115.61,8.678,0.03,371,2319,100.0,28.46,17.1208,3,1
409,3,23,10.0065,0.25,20.0,489.05,604.67,1498.76,1310.74,10.52,15.49,393.58,2319.02,8761.29,1.26,45.57,371.92,2388.18,8116.16,8.6817,0.03,369,2319,100.0,28.63,17.0753,3,1
413,3,27,9.9989,0.25,20.0,489.05,604.5,1496.41,1309.56,10.52,15.5,394.18,2318.94,8756.39,1.26,45.31,371.23,2388.18,8110.47,8.667,0.03,369,2319,100.0,28.46,17.1319,3,1
415,3,29,10.0013,0.25,20.0,489.05,605.59,1504.4,1309.21,10.52,15.49,394.04,2318.99,8766.74,1.26,45.39,370.98,2388.21,8115.01,8.6416,0.03,370,2319,100.0,28.51,17.0196,3,1
431,3,45,9.9998,0.25,20.0,489.05,605.09,1498.03,1311.12,10.52,15.5,394.08,2319.02,8761.78,1.26,45.43,371.56,2388.22,8116.26,8.6764,0.03,368,2319,100.0,28.5,17.1673,3,1
